Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
212,Sms,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Discount/Offers,No,Cash discounts,Internet balance top up,,Yes,Monthly unlimited,Facebook,WhatsApp,Imo,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,Maybe,I find the payment complicated and it will not be easier in the future,Poor customer service,,Payment is difficult,Less option to choose from,,Maybe,Easy to make payment/Convenient,Attractive discounts,,Chime,Bank Account,Cash delivered,Earning credits for future purchase,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Rampura,"50,001-100,000",Emerging,I use internet mainly for socialization
213,Sms,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Discount/Offers,No,Cash discounts,Mobile Talk time top up,,Yes,Monthly Limited,Facebook,WhatsApp,Imo,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,No,I am more comfortable visiting physically,,,Finds it complicated,Less option to choose from,Lack of discount/offers,Yes,Don't have to travel,Efficient customer service,,Chime,Cash delivered,,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Khilgaon,"50,001-100,000",Emerging,I use internet mainly for socialization
214,I don't prefer,"Yes, at a discounted price",Once/twice in a year,Never,,I prefer complementary meal/food service,"501-1,000",Restaurant availability,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,Imo,Viber,Up to 500,Never,I don't shop online,,,500 - 700,11-30%,Higher Transaction Limit,Easy to use mobile app,Payment gateway integration,No,Less option to choose from,User experience (Web) was poor,,I am not a tech savvy person,,,Maybe,Don't have to travel,Attractive discounts,Insurance facilities,MaxPay,Cash delivered,,,Female,41-50 years,Baby Boomers,Unemployed,Not Applicable,Not employed,Married with more than 1 kid,Rampura,"50,001-100,000",Emerging,I like to explore new things
215,Sms,No,Never,Never,Never,I don't,"2,001-3,000",Discount/Offers,No,Cash discounts,,,Yes,Monthly unlimited,Facebook,WhatsApp,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,No,I am more comfortable visiting physically,,,Payment is difficult,,,Maybe,Attractive discounts,Easy to make payment/Convenient,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Self-employed,Own Business,Media,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I use internet mainly for socialization
216,Sms,"Yes, at a discounted price",Never,Never,Never,I don't,"1,001-2,000",,No,Cash discounts,,,Yes,Monthly unlimited,Facebook,WhatsApp,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,No,I am more comfortable visiting physically,,,Payment is difficult,,,Maybe,Don't have to travel,,,Chime,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Married with no kids,Mirpur,"50,001-100,000",Emerging,I use internet mainly for socialization
217,Sms,No,Never,Never,Once/twice in a year,I prefer having chocolates/ice-creams,"2,001-3,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Monthly Limited,Facebook,Shohoz.com,Wktickets,Up to 500,Once/twice in a year,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,Call center facilities,More privacy assurance,No,User experience (App) was poor,,,I purchase online,,,Yes,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,MaxPay,Cash delivered,Mobile balance top up,,Male,31-40 years,Gen X,Employed,Private - Not for Profit,NGO,Married with no kids,Niketon,"Up to 50,000",Aspirant,I use internet mainly for work/business
218,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once a month,Once a month,I prefer having tea/coffee,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,No,I don't use internet in my phone,I don't use apps,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Longer transaction time-out,Easy to use mobile app,,No,No bargaining option,,,Lack of discount/offers,No option for seat selection,No bargaining facility,Maybe,Reliable call center service,Attractive discounts,,SnapTap,Bank Account,Mobile balance top up,,Male,31-40 years,Gen X,Employed,Private - Not for Profit,Real estate,Married with 1 kid,Lalmatia,"50,001-100,000",Emerging,I use internet mainly for work/business
219,Sms,"Yes, at a discounted price",Twice a month,Once a month,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Mobile Talk time top up,Cashback offer,Coupons,At times,Monthly Limited,Facebook,YouTube,,"1,001 - 2,000",Once a month,Accessories,Electronic gadgets,,500 - 700,11-30%,High Security ,Easy to use mobile app,,Maybe,Poor quality of product/service,No bargaining option,Product/service not available online,Less option to choose from,Description of the product/service is not detailed,Love the touch and feel,Yes,Reliable call center service,Don't have to travel,,SnapTap,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Engineer,Married with no kids,Mirpur,"50,001-100,000",Emerging,I think online payment system is not secured yet
220,Phone call,"Yes, at a discounted price",Once a month,Once/twice in a year,Once a month,I prefer having some light snacks like sandwich,"501-1,000",Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly unlimited,Facebook,Instagram,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,No,I am more comfortable visiting physically,,,Poor customer service,,,Maybe,Don't have to travel,Efficient customer service,Attractive discounts,SnapTap,Cash delivered,,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Uttara,"50,001-100,000",Emerging,I use internet mainly for socialization
221,Sms,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly unlimited,Facebook,Imo,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,,,Less option to choose from,,,Maybe,Easy to make payment/Convenient,Last minute deals,,SnapTap,Cash delivered,,,Male,21-30 years,Millennials,Employed,Private - For Profit,Engineer,Single with no kid,Mirpur,"50,001-100,000",Emerging,I use internet mainly for work/business
222,Sms,No,Never,Once/twice in a year,Once/twice in a year,I prefer complementary meal/food service,"1,001-2,000",Complimentary breakfast,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,Facebook,YouTube,Instagram,"1,001 - 2,000",Once/twice in a year,Accessories,Electronic gadgets,,"More than 3,000",11-30%,Easy to use mobile app,Longer transaction time-out,,No,Product/service not available online,,,Finds it complicated,,,Yes,Don't have to travel,Easy to make payment/Convenient,Attractive discounts,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Banani,"100,001-200,000",Established,I use internet mainly for socialization
223,Sms,"Yes, at a discounted price",Never,Once/twice in a year,Once/twice in 6 months,I prefer complementary meal/food service,"1,001-2,000",Complimentary breakfast,"Yes, at regular price",Gifts (T-shirt/Mug),Mobile Talk time top up,Internet balance top up,At times,Monthly Limited,I don't use apps,,,"2,001 - 3,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,,,No,I am more comfortable visiting physically,,,Finds it complicated,Cannot trust online transaction,,No,Can transfer funds between accounts easily,Attractive discounts,Easy to make payment/Convenient,PayUp,Bank Account,Cash delivered,Concession on the next purchase,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Manufacturing,Married with more than 1 kid,Rampura,"50,001-100,000",Emerging,I find adapting to new technology difficult
224,Sms,"Yes, at a discounted price",Never,Never,Once/twice in a year,I prefer having chocolates/ice-creams,"1,001-2,000",,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly unlimited,Facebook,WhatsApp,Viber,"1,001 - 2,000",Once/twice in a year,Accessories,,,500 - 700,Up to 10%,Easy to use mobile app,Longer transaction time-out,,Maybe,Poor customer service,,,Finds it complicated,,,Maybe,Easy to make payment/Convenient,Attractive discounts,,SnapTap,Cash delivered,,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Badda,"50,001-100,000",Emerging,I use internet mainly for socialization
225,Sms,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly unlimited,Facebook,WhatsApp,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Higher Transaction Limit,Longer transaction time-out,Yes,It’s not safe to transact online,,,No option for seat selection,Love the touch and feel,I am not a tech savvy person,Maybe,Easy to make payment/Convenient,Don't have to travel,Last minute deals,Chime,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I use internet mainly for socialization
226,Sms,"Yes, at a discounted price",Never,Once/twice in a year,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly unlimited,Facebook,WhatsApp,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,Electronic gadgets,"2,001 - 3,000",11-30%,Easy to use mobile app,High Security ,High mobile optimization,No,User experience (App) was poor,,,Can't find what is being looked for,,,Maybe,Attractive discounts,Last minute deals,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Not Applicable,Education,Married with no kids,Uttara,"50,001-100,000",Emerging,I use internet mainly for socialization
227,Phone call,"Yes, at a discounted price",Never,More than twice a month,Twice a month,I prefer having some soft drinks with popcorns/French fries,Up to 500,Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),Coupons,Yes,Monthly Limited,Facebook,YouTube,Gaming apps,"1,001 - 2,000",Once/twice in a year,Cloths,Electronic gadgets,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,,,No,I am more comfortable visiting physically,,,Cannot trust online transaction,Poor customer service,Over price,Yes,Don't have to travel,Can transfer funds between accounts easily,,Chime,Bank Account,Cash delivered,Earning credits for future purchase,Male,21-30 years,Millennials,Employed,Private - For Profit,Financial Institution,Single with no kid,Mirpur,"100,001-200,000",Established,I love the touch and feel of the product while shopping
228,Phone call,"Yes, but at regular price",Once/twice in 6 months,More than twice a month,Once/twice in 6 months,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,Up to 500,Discount/Offers,No,Cash discounts,Internet balance top up,,Yes,Monthly Limited,Viber,Maps,Gaming apps,Up to 500,Twice a month,Cloths,Accessories,Electronic gadgets,Up to 500,Up to 10%,Longer transaction time-out,Easy to use mobile app,Facebook based customer services,No,I am more comfortable visiting physically,,,Poor customer service,Less option to choose from,No bargaining facility,Yes,Don't have to travel,Can transfer funds between accounts easily,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,Up to 20 years,iGen,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I use internet mainly for work/business
229,Phone call,"Yes, at a discounted price",Once/twice in a year,More than twice a month,Once/twice in a year,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,Up to 500,Safety,No,Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly Limited,WhatsApp,Shohoz.com,Gaming apps,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,Electronic gadgets,"701 - 1,000",11-30%,Longer transaction time-out,Higher Transaction Limit,,No,I am more comfortable visiting physically,,,Poor customer service,Less option to choose from,No bargaining facility,Yes,Don't have to travel,Can transfer funds between accounts easily,,Chime,Bank Account,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I find adapting to new technology difficult
230,Phone call,"Yes, but at regular price",Never,Once/twice in 6 months,Once/twice in 6 months,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,Up to 500,Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly Limited,WhatsApp,Gaming apps,,Up to 500,Once/twice in a year,Cloths,Electronic gadgets,Food,500 - 700,Up to 10%,,,,No,I am more comfortable visiting physically,I find the technology difficult and it will not be easier in the future,ans was no,Payment is difficult,Poor customer service,,Yes,Don't have to travel,Can transfer funds between accounts easily,,SnapTap,Bank Account,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
231,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,,Yes,Monthly Limited,Facebook,WhatsApp,Viber,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,No,I am more comfortable visiting physically,I find the technology difficult and it will not be easier in the future,ans was no,Over price,,,Yes,Can transfer funds between accounts easily,Efficient customer service,,Chime,Bank Account,Mobile balance top up,,Female,21-30 years,Millennials,Employed,Public,Education,Single with no kid,Mirpur,"100,001-200,000",Established,I like to explore new things
232,Phone call,"Yes, at a premium price",Twice a month,Once a month,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"2,001-3,000",Discount/Offers,"Yes, at a discounted price",Mobile Talk time top up,Internet balance top up,Cashback offer,No,I don't use internet in my phone,I don't use apps,,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Higher Transaction Limit,Longer transaction time-out,Easy to use mobile app,No,It’s not safe to transact online,Over priced,No option for seat selection,Less option to choose from,Lack of discount/offers,Description of the product/service is not detailed,No,Efficient customer service,Don't have to travel,Easy to make payment/Convenient,PayUp,Bank Account,Cash delivered,Mobile balance top up,Male,50+ years,Baby Boomers,Employed,Private - For Profit,Education,Married with more than 1 kid,Mirpur,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
233,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Never,Once/twice in 6 months,I prefer having tea/coffee,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly Limited,Uber,Maps,pathao.com,Up to 500,Once/twice in 6 months,Accessories,Electronic gadgets,,500 - 700,Up to 10%,Easy to use mobile app,,,No,No bargaining option,Over priced,,I purchase online,,,Maybe,Attractive discounts,Don't have to travel,,Chime,Bank Account,Cash delivered,Mobile balance top up,Female,21-30 years,Millennials,Employed,Private - For Profit,ITES,Single with no kid,Mirpur,"100,001-200,000",Established,I like to explore new things
234,Phone call,No,Once/twice in a year,Once/twice in 6 months,Once/twice in a year,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Pay as you go,YouTube,Viber,Maps,Up to 500,Once/twice in 6 months,Accessories,Electronic gadgets,,500 - 700,Up to 10%,Easy to use mobile app,,,No,Less option to choose from,Over priced,,I am not a tech savvy person,Over price,,Maybe,Attractive discounts,Don't have to travel,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,21-30 years,Millennials,Self-employed,Own Business,Education,Single with no kid,Mirpur,"100,001-200,000",Established,I use internet mainly for work/business
235,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in a year,Twice a month,I prefer having tea/coffee,"501-1,000",,No,Gifts (T-shirt/Mug),,,Yes,Customized,Facebook,WhatsApp,Viber,500 - 700,Never,Accessories,Electronic gadgets,I don't shop online,"701 - 1,000",I don't shop online,Easy to use mobile app,Call center facilities,,No,I find the technology difficult and it will not be easier in the future,Poor customer service,,No option for seat selection,Over price,,Yes,Efficient customer service,Don't have to travel,,PayUp,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I think online payment system is not secured yet
236,Sms,No,Once a month,,,I prefer having some soft drinks with popcorns/French fries,Up to 500,,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,Facebook,YouTube,Imo,"701 - 1,000",Never,Commodity,Food,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Call center facilities,,No,I find the technology difficult and it will not be easier in the future,Poor customer service,,No option for seat selection,Over price,,Maybe,Can transfer funds between accounts easily,Easy to make payment/Convenient,,Chime,Bank Account,,,Male,31-40 years,Gen X,Employed,Public,Education,Married with 1 kid,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
237,Sms,"Yes, at a discounted price",Once a month,,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",,"Yes, at a discounted price",Cash discounts,,,At times,Monthly unlimited,Facebook,YouTube,,Up to 500,Once/twice in a year,Car/Vehicle,I don't shop online,,"More than 3,000",Up to 10%,More privacy assurance,High Security ,,No,Less option to choose from,,,Finds it complicated,Less option to choose from,,Maybe,Can transfer funds between accounts easily,,,SnapTap,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Public,Education,Single with more than 1 kid,Uttara,"50,001-100,000",Emerging,I think online payment system is not secured yet
238,Phone call,"Yes, at a discounted price",Once a month,Twice a month,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Complimentary breakfast,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Coupons,Yes,Monthly unlimited,Facebook,YouTube,Viber,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"2,001 - 3,000",Up to 10%,More privacy assurance,Easy to use mobile app,,No,Less option to choose from,,,Finds it complicated,Less option to choose from,,Maybe,Attractive discounts,Don't have to travel,Easy to make payment/Convenient,SnapTap,Cash delivered,Concession on the next purchase,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
239,Website,"Yes, at a discounted price",Once/twice in a year,Never,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Monthly Limited,Facebook,Imo,Gaming apps,Up to 500,Once/twice in a year,Electronic gadgets,Food,Gift items,Up to 500,Up to 10%,Call center facilities,Longer transaction time-out,Easy to use mobile app,Maybe,No option for seat selection,User experience (App) was poor,User experience (Web) was poor,I purchase online,,,Yes,Can transfer funds between accounts easily,Reliable call center service,Floating deals during off-peak hours,SnapTap,Cash delivered,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Baridhara,"Up to 50,000",Aspirant,I like to explore new things
240,Phone call,"Yes, but at regular price",Once a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,,"Yes, at a discounted price",Commodity carrying facility for free/low cost,,,Yes,Customized,YouTube,Viber,Maps,"1,001 - 2,000",More than twice a month,Cloths,Commodity,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Call center facilities,More privacy assurance,No,Over priced,,,Over price,Can't tell if the product is genuine,,Maybe,Can transfer funds between accounts easily,Efficient customer service,Don't have to travel,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Married with no kids,Uttara,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
241,Phone call,"Yes, but at regular price",Once a month,Once/twice in 6 months,Twice a month,I prefer having tea/coffee,Up to 500,Discount/Offers,No,Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,YouTube,Instagram,Uber,Up to 500,Twice a month,Accessories,Food,,500 - 700,11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,I am more comfortable visiting physically,,,Poor customer service,No option for seat selection,No bargaining facility,Yes,Don't have to travel,Easy to make payment/Convenient,Reliable call center service,SnapTap,Cash delivered,Mobile balance top up,,Male,31-40 years,Gen X,Self-employed,Own Business,Education,Single with no kid,Rajarbag,"Up to 50,000",Aspirant,I like to explore new things
242,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once a month,Once a month,I prefer having tea/coffee,Up to 500,,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly unlimited,Facebook,YouTube,Imo,Up to 500,More than twice a month,Accessories,Commodity,Food,Up to 500,Up to 10%,Longer transaction time-out,Easy to use mobile app,Payment gateway integration,No,I am more comfortable visiting physically,I find the technology difficult and it will not be easier in the future,,I purchase online,,,Yes,Don't have to travel,Can transfer funds between accounts easily,Easy to make payment/Convenient,Chime,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,DU Area,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
243,I don't prefer,No,Once/twice in a year,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Restaurant availability,"Yes, at a discounted price",Gifts (T-shirt/Mug),Mobile Talk time top up,Internet balance top up,Yes,Monthly Limited,Facebook,Food ordering apps,Shohoz.com,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,High Security ,Longer transaction time-out,Easy to use mobile app,Maybe,Less option to choose from,No bargaining option,It is not safe to transact online,I purchase online,,,Yes,Don't have to travel,Easy to make payment/Convenient,Efficient customer service,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Female,41-50 years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with 1 kid,Shantinagar,"50,001-100,000",Emerging,Shopping online is my passion
244,Phone call,"Yes, at a discounted price",Twice a month,,Once a month,I prefer having some light snacks like sandwich,"501-1,000",,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly unlimited,Facebook,YouTube,Imo,"701 - 1,000",Once/twice in 6 months,Cloths,Car/Vehicle,Electronic gadgets,"701 - 1,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,No,Over priced,,,No bargaining facility,Over price,Can't tell if the product is genuine,Yes,Attractive discounts,Easy to make payment/Convenient,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
245,Sms,"Yes, but at regular price",Once/twice in 6 months,Once a month,Once a month,I prefer having some light snacks like sandwich,Up to 500,,No,Cash discounts,Cashback offer,Coupons,Yes,Monthly unlimited,WhatsApp,Imo,Viber,Up to 500,Once/twice in a year,Cloths,Accessories,Electronic gadgets,Up to 500,Up to 10%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,Poor quality of product/service,,,I purchase online,,,Maybe,Attractive discounts,Easy to make payment/Convenient,Don't have to travel,SnapTap,Cash delivered,Mobile balance top up,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Dhanmondi,"Up to 50,000",Aspirant,I like to explore new things
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not employed,Single with no kid,Banani,"Up to 50,000",Aspirant,I like to explore new things
247,Sms,"Yes, at a premium price",Once/twice in 6 months,Once a month,Once a month,I prefer having some soft drinks with popcorns/French fries,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Imo,Viber,,"1,001 - 2,000",Once/twice in a year,Cloths,Electronic gadgets,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,Facebook based customer services,No,Over priced,,,I purchase online,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
248,Phone call,"Yes, at a premium price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,,Yes,Monthly unlimited,Facebook,WhatsApp,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Higher Transaction Limit,Easy to use mobile app,,Maybe,I find the payment complicated and it will not be easier in the future,Less option to choose from,No bargaining option,Cannot trust online transaction,Payment is difficult,,Maybe,Can transfer funds between accounts easily,Efficient customer service,,PayUp,Bank Account,Cash delivered,Mobile balance top up,Male,50+ years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with 1 kid,Uttara,"50,001-100,000",Emerging,I find adapting to new technology difficult
249,Phone call,"Yes, but at regular price",Once a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly Limited,Facebook,YouTube,,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Call center facilities,More privacy assurance,No,Over priced,,,I purchase online,,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Married with no kids,Mirpur,"50,001-100,000",Emerging,I like to explore new things
